task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,hu-worker-c34,1c/0293a2,nf-1c0293a24ee23a3d3eb8a64364d8ea44-c02e4,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1749654763290,1749654765000,1749654765000,1710,0,-,92.1,0.0,3317760,5640192,3317760,5644288,712951,4923,279,18,0,16384,6,0,/input/data/work/1c/0293a24ee23a3d3eb8a64364d8ea44,true,-
3,hu-worker-c28,ab/13f405,nf-ab13f4052e8fc6df06e45eef6c31f2fe-1fa7d,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1749654763140,1749654772000,1749654929000,165860,155000,-,27.7,0.4,1174716416,1186750464,1174716416,1186754560,4064228516,838279379,496316,104481,159744,838287360,22,4694,/input/data/work/ab/13f4052e8fc6df06e45eef6c31f2fe,true,-
1,hu-worker-c27,32/b27e20,nf-32b27e2032c3fd0ad8b503d665113579-7e706,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1749654763231,1749654771000,1749654931000,167769,160000,-,30.6,0.0,4780032,12550144,4780032,12554240,3147403098,5958,48261,20,13807616,16384,32,2803,/input/data/work/32/b27e2032c3fd0ad8b503d665113579,true,-
37,hu-worker-c31,a6/a015b1,nf-a6a015b19004c4ee53fddf7ed3652477-24dac,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1749654768303,1749654775000,1749655026000,257697,250000,-,121.7,0.4,558006272,3961544704,558006272,3966971904,2938868547,3692529,5706870,11273,62345216,4730880,145,2,/input/data/work/a6/a015b19004c4ee53fddf7ed3652477,true,-
73,hu-worker-c31,9f/e43b58,nf-9fe43b589274a063bd26fe2b95fbf370-1bc22,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1749654769652,1749654776000,1749655046000,276348,269000,-,119.7,0.4,552185856,3893383168,565100544,3960496128,3070529129,3692450,5964018,11298,0,4808704,7,3,/input/data/work/9f/e43b589274a063bd26fe2b95fbf370,true,-
82,hu-worker-c28,10/bb6b46,nf-10bb6b46b4e8325c8720a87e65fa7942-36ed4,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1749654931191,1749654932000,1749655100000,168809,164000,-,100.3,0.4,1189216256,1522270208,1190678528,1522274304,4568154998,1562136178,522502,3509959,57950208,1562169344,157,4574,/input/data/work/10/bb6b46b4e8325c8720a87e65fa7942,true,-
46,hu-worker-c25,e1/5757c9,nf-e15757c9b3ec662a9178b26e464052de-77d4f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1749654766479,1749654778000,1749655111000,344521,332000,-,150.0,0.2,543592448,4034580480,543657984,4092624896,1417819929,3669194,2736083,11184,0,5033984,7,2,/input/data/work/e1/5757c9b3ec662a9178b26e464052de,true,-
81,hu-worker-c27,66/5cc192,nf-665cc192d5818e6f6832c15514809ed9-cc515,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1749654769903,1749654771000,1749655184000,414097,412000,-,163.3,0.2,545927168,3961544704,556032000,3988406272,1831962529,3672470,3544954,11267,0,5267456,14,9,/input/data/work/66/5cc192d5818e6f6832c15514809ed9,true,-
10,hu-worker-c35,07/71795e,nf-0771795e6ebe19b07e7a159fb21c1ce0-f077e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1749654769204,1749654774000,1749655193000,423796,417000,-,147.2,0.2,545673216,3893383168,549294080,3954204672,1740182809,3670773,3365702,11314,0,5369856,7,1,/input/data/work/07/71795e6ebe19b07e7a159fb21c1ce0,true,-
45,hu-worker-c35,ae/5c9bf9,nf-ae5c9bf98cf6c1f725e535411ac3e8b1-5c4da,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1749654767954,1749654774000,1749655198000,430046,422000,-,197.6,0.2,555552768,3893383168,562933760,3898810368,2401474049,3695705,4657279,11266,0,5443584,7,2,/input/data/work/ae/5c9bf98cf6c1f725e535411ac3e8b1,true,-
